i,normale,Migliorato,Media normale,Media Migliorato
0,0.006829,0.003906,0.004135,0.003315
1,0.004888,0.006882,0.004135,0.003315
2,0.003906,0.003906,0.004135,0.003315
3,0.003902,0.001953,0.004135,0.003315
4,0.003910,0.001953,0.004135,0.003315
5,0.003906,0.001951,0.004135,0.003315
6,0.004883,0.001955,0.004135,0.003315
7,0.006836,0.005859,0.004135,0.003315
8,0.003906,0.001953,0.004135,0.003315
9,0.004883,0.002930,0.004135,0.003315
10,0.005859,0.002930,0.004135,0.003315
11,0.002930,0.005893,0.004135,0.003315
12,0.003902,0.007805,0.004135,0.003315
13,0.002933,0.002933,0.004135,0.003315
14,0.002930,0.001953,0.004135,0.003315
15,0.003902,0.002969,0.004135,0.003315
16,0.002933,0.000000,0.004135,0.003315
17,0.005859,0.000977,0.004135,0.003315
18,0.006836,0.005859,0.004135,0.003315
19,0.005859,0.003906,0.004135,0.003315
20,0.000000,0.004883,0.004135,0.003315
21,0.000977,0.001007,0.004135,0.003315
22,0.002930,0.002930,0.004135,0.003315
23,0.004883,0.003906,0.004135,0.003315
24,0.004878,0.000976,0.004135,0.003315
25,0.003910,0.002933,0.004135,0.003315
26,0.001951,0.000976,0.004135,0.003315
27,0.001955,0.004888,0.004135,0.003315
28,0.006836,0.000976,0.004135,0.003315
29,0.006836,0.004888,0.004135,0.003315
30,0.003906,0.006823,0.004135,0.003315
31,0.008789,0.003914,0.004135,0.003315
32,0.003906,0.000977,0.004135,0.003315
33,0.011719,0.001986,0.004135,0.003315
34,0.003899,0.003951,0.004135,0.003315
35,0.005871,0.005859,0.004135,0.003315
36,0.001953,0.002930,0.004135,0.003315
37,0.001951,0.005859,0.004135,0.003315
38,0.003910,0.002930,0.004135,0.003315
39,0.007812,0.005859,0.004135,0.003315
40,0.000977,0.002930,0.004135,0.003315
41,0.004883,0.002930,0.004135,0.003315
42,0.004883,0.001953,0.004135,0.003315
43,0.001953,0.005859,0.004135,0.003315
44,0.004878,0.002930,0.004135,0.003315
45,0.003910,0.002930,0.004135,0.003315
46,0.007812,0.002930,0.004135,0.003315
47,0.004883,0.000000,0.004135,0.003315
48,0.006836,0.002930,0.004135,0.003315
49,0.003902,0.002960,0.004135,0.003315
50,0.002930,0.003906,0.004135,0.003315
51,0.003910,0.006843,0.004135,0.003315
52,0.004883,0.003906,0.004135,0.003315
53,0.002930,0.003906,0.004135,0.003315
54,0.002930,0.001953,0.004135,0.003315
55,0.002930,0.001953,0.004135,0.003315
56,0.000977,0.003906,0.004135,0.003315
57,0.001951,0.002927,0.004135,0.003315
58,0.002933,0.002933,0.004135,0.003315
59,0.000000,0.001953,0.004135,0.003315
60,0.002930,0.003902,0.004135,0.003315
61,0.003906,0.005865,0.004135,0.003315
62,0.005859,0.001953,0.004135,0.003315
63,0.000003,0.000002,0.004135,0.003315
